real_1,est_1,real_2,est_2,real_1∪2,est_1∪2,real_1∩2,est_1∩2,real_jaccard,est_jaccard,jaccard_error
50005, 50012, 50005, 50002, 100000, 99993, 10, 10, 1.0E-4, 1.0240970024680737E-4,-2.4097002468073674
50010, 50016, 50010, 50008, 100000, 99991, 20, 19, 2.0E-4, 1.9458241589431102E-4,2.7087920528444966
50010, 50018, 50010, 50009, 100000, 99994, 20, 20, 2.0E-4, 2.0481730296575455E-4,-2.4086514828772696
50010, 50018, 50010, 50006, 100000, 99992, 20, 19, 2.0E-4, 1.94580423161215E-4,2.7097884193925066
50005, 50012, 50005, 50002, 100000, 99993, 10, 10, 1.0E-4, 1.0240970024680737E-4,-2.4097002468073674
50005, 50012, 50005, 50002, 100000, 99993, 10, 10, 1.0E-4, 1.0240970024680737E-4,-2.4097002468073674
50005, 50012, 50005, 50002, 100000, 99993, 10, 10, 1.0E-4, 1.0240970024680737E-4,-2.4097002468073674
50005, 50011, 50005, 50000, 100000, 99990, 10, 10, 1.0E-4, 1.0241284666748597E-4,-2.412846667485961
50015, 50023, 50015, 50014, 100000, 99996, 30, 30, 3.0E-4, 3.0722280822128233E-4,-2.4076027404274534
50010, 50018, 50010, 50009, 100000, 99994, 20, 20, 2.0E-4, 2.0481730296575455E-4,-2.4086514828772696
50015, 50023, 50015, 50014, 100000, 99996, 30, 30, 3.0E-4, 3.0722280822128233E-4,-2.4076027404274534
50010, 50016, 50010, 50009, 100000, 99992, 20, 20, 2.0E-4, 2.0482149806443683E-4,-2.41074903221841
50015, 50023, 50015, 50014, 100000, 99996, 30, 30, 3.0E-4, 3.0722280822128233E-4,-2.4076027404274534
50015, 50022, 50015, 50014, 100000, 99994, 30, 30, 3.0E-4, 3.0722595444863184E-4,-2.4086514828772883
50020, 50027, 50020, 50018, 100000, 99993, 40, 39, 4.0E-4, 3.993978309625488E-4,0.15054225936280935
50015, 50023, 50015, 50014, 100000, 99996, 30, 30, 3.0E-4, 3.0722280822128233E-4,-2.4076027404274534
50020, 50028, 50020, 50015, 100000, 99991, 40, 36, 4.0E-4, 3.6868247222079985E-4,7.829381944800042
50020, 50028, 50020, 50018, 100000, 99994, 40, 39, 4.0E-4, 3.993937407832214E-4,0.15156480419465768
50025, 50032, 50025, 50022, 100000, 99992, 50, 48, 5.0E-4, 4.8133052045142656E-4,3.73389590971469
50020, 50027, 50020, 50018, 100000, 99993, 40, 40, 4.0E-4, 4.096388009872295E-4,-2.4097002468073674
50020, 50028, 50020, 50015, 100000, 99991, 40, 37, 4.0E-4, 3.7892365200471094E-4,5.26908699882227
50025, 50031, 50025, 50024, 100000, 99993, 50, 49, 5.0E-4, 4.915665611846754E-4,1.686687763064929
